"","Date","Location","Airplane.model","Fatalities"
"2679","Feb 26, 2001 at 1030 LT","Sault Sainte Marie, Michigan","Cessna 500 Citation",0
"2680","Feb 20, 2001 at 1900 LT","Val d'Or, Quebec","Piper PA-31-350 Navajo Chieftain",0
"2681","Feb 19, 2001","Luena, Moxico","Antonov AN-26",0
"2682","Feb 19, 2001","Puerto López, Meta","Rockwell Gulfstream Commander 1000",8
"2683","Feb 14, 2001 at 2300 LT","Kousséri, Far North","Piper PA-31 Cheyenne",3
"2684","Feb 13, 2001 at 1840 LT","Birmingham, Alabama","Cessna 421 Golden Eagle",5
"2685","Feb 11, 2001","Jakarta, City District of Jakarta","Casa 212 Aviocar",0
"2686","Feb 10, 2001","Jacobkondre, Sipaliwini","GAF Nomad N24",10
"2687","Feb 10, 2001","Macapá, Amapá","Mitsubishi MU-2 Marquise",0
"2688","Feb 8, 2001 at 1920 LT","Michigan, Michigan","Swearingen SA226T Merlin",2
"2689","Feb 8, 2001 at 1540 LT","Nuremberg, Bavaria","Learjet 35",3
"2690","Feb 7, 2001 at 2305 LT","Bilbao, Basque Country","Airbus A320",0
"2691","Feb 7, 2001","Argentina, Argentina","Rockwell Shrike Commander 500S",3
"2692","Feb 4, 2001 at 1921 LT","Sheffield, South Yorkshire","Short 360",0
"2693","Feb 1, 2001","Luena, Moxico","Antonov AN-26",22
"2694","Jan 31, 2001 at 1649 LT","Yopal, Casanare","Sud-Aviation SE-210 Caravelle",3
"2695","Jan 31, 2001 at 1315 LT","Donlin Creek, Alaska","Douglas DC-6",0
"2696","Jan 30, 2001 at 1835 LT","Vineyard Haven, Massachusetts","Cessna 402",0
"2697","Jan 28, 2001 at 0815 LT","Dominican Republic, Dominican Republic","Rockwell Aero Commander 500",7
"2698","Jan 27, 2001 at 1737 LT","Byers, Colorado","Beechcraft Super King Air 200",10
"2699","Jan 27, 2001 at 1200 LT","Omsk, Omsk oblast","Antonov AN-70",0
"2700","Jan 25, 2001 at 1815 LT","Ciudad Bolivar, Bolívar","Douglas DC-3",24
"2701","Jan 24, 2001 at 1510 LT","Nashville, Tennessee","Beechcraft King Air 90",4
"2702","Jan 23, 2001 at 2135 LT","Unalaska, Alaska","Douglas DC-3",2
"2703","Jan 23, 2001 at 2130 LT","Maiduguri, Borno","Let 410UVP",0
"2704","Jan 19, 2001 at 1100 LT","Kayseri, Central Anatolia Region (Iç Anadolu Bölgesi)","Casa-Nurtanio CN235 (IPTN)",3
"2705","Jan 14, 2001 at 1729 LT","Utah, Utah","Beechcraft King Air 90",9
"2706","Jan 14, 2001 at 1345 LT","Troy, Alabama","Learjet 60",0
"2707","Jan 12, 2001","Brazil, Brazil","Piper PA-31 Cheyenne",6
"2708","Jan 11, 2001","Brazil, Brazil","Britten-Norman Islander",3
"2709","Jan 11, 2001","Jequié, Bahia","Embraer EMB-820 Navajo",2
"2710","Jan 9, 2001 at 1720 LT","Buenos Aires, Buenos Aires City","Boeing 727-200",0
"2711","Jan 9, 2001","Palacios, Copán","IAI Arava 201",0
"2712","Jan 8, 2001 at 1200 LT","Indonesia, Indonesia","Casa 212 Aviocar",9
"2713","Jan 6, 2001","Guyana, Guyana","Britten-Norman Islander",3
"2714","Jan 5, 2001","Dundo, Lunda Norte","Boeing 727-100",1
"2715","Jan 4, 2001","Zhengzhou-Xinzheng, Henan","Harbin Yunsunji Y-8",8
"2716","Jan 4, 2001","Zhengzhou-Xinzheng, Henan","Harbin Yunsunji Y-8",14
"2717","Dec 29, 2000 at 2234 LT","Charlottesville, Virginia","Bae Jetstream 41",0
"2718","Dec 23, 2000 at 1351 LT","Blackbushe, Hampshire","Beechcraft Super King Air 200",5
"2719","Dec 22, 2000 at 1716 LT","Maine, Maine","Beechcraft Super King Air 200",2
"2720","Dec 20, 2000 at 1620 LT","Kenai, Alaska","Curtiss C-46",2
"2721","Dec 20, 2000 at 1200 LT","Costa Rica, Costa Rica","Cessna 402",0
"2722","Dec 20, 2000 at 0126 LT","Jackson, Wyoming","BAe 125",0
"2723","Dec 16, 2000 at 2130 LT","São Paulo, São Paulo","Rockwell Grand Commander 680",7
"2724","Dec 16, 2000 at 0620 LT","Mokhotlong, Lesotho","Casa 212 Aviocar",0
"2725","Dec 15, 2000 at 0640 LT","Raglan, Waikato Regional Council","Fletcher FU-24",0
"2726","Dec 14, 2000 at 1303 LT","North Carolina, North Carolina","Piper PA-31-350 Navajo Chieftain",1
"2727","Dec 11, 2000","Gabon, Gabon","Embraer EMB-110 Bandeirante",3
"2728","Dec 11, 2000","Gabon, Gabon","Embraer EMB-110 Bandeirante",3
"2729","Dec 10, 2000 at 0448 LT","Norman, Oklahoma","Cessna 421 Golden Eagle",2
"2730","Dec 5, 2000","Colombia, Colombia","Casa 212 Aviocar",0
"2731","Nov 29, 2000 at 1550 LT","Atlanta, Georgia","Douglas DC-9",0
"2732","Nov 28, 2000 at 0625 LT","Trujillo, La Libertad","Swearingen SA227AC Metro III",0
"2733","Nov 25, 2000 at 0604 LT","Córdoba, Andalusia","Aérospatiale SN.601 Corvette",1
"2734","Nov 24, 2000 at 1151 LT","Lynchburg, Virginia","Beechcraft King Air 90",0
"2735","Nov 18, 2000 at 1053 LT","Datah Dawai, East Kalimantan","Britten-Norman Islander",0
"2736","Nov 15, 2000 at 1303 LT","Luanda, Luanda","Antonov AN-26",57
"2737","Nov 13, 2000 at 1813 LT","Conakry, Conakry Region","Douglas DC-9",0
"2738","Nov 13, 2000 at 1338 LT","Reims, Marne","Beechcraft King Air 90",2
"2739","Nov 10, 2000 at 1215 LT","Idaho Falls, Idaho","Cessna 425 Conquest",2
"2740","Nov 9, 2000","Chilanga, Morazán","Basler BT-67",0
"2741","Nov 9, 2000 at 0123 LT","Fort Wayne, Indiana","Swearingen SA226AC Metro II",1
"2742","Nov 7, 2000","Luabo, Zambezia","Antonov AN-32",1
"2743","Nov 5, 2000 at 2157 LT","Paris, Paris","Boeing 747-200",0
"2744","Nov 5, 2000","Cheboksary, Republic of Chuvashia","Antonov AN-24",0
"2745","Nov 1, 2000 at 1745 LT","Sao Tomé, Água Grande","Rockwell Aero Commander 690",0
"2746","Nov 1, 2000 at 1510 LT","Vancouver, British Columbia","De Havilland DHC-6 Twin Otter",0
"2747","Oct 31, 2000 at 2318 LT","Taipei, Taipei City (<U+81FA><U+5317><U+5E02>)","Boeing 747-400",83
"2748","Oct 31, 2000 at 1930 LT","Saurimo, Lunda Sul","Antonov AN-26",49
"2749","Oct 29, 2000","Bogotá, Bogotá Capital District","Piper PA-31-350 Navajo Chieftain",8
"2750","Oct 26, 2000","Nigeria, Nigeria","Dornier DO.128 Skyservant",6
"2751","Oct 25, 2000 at 2022 LT","Batumi, Adjara","Ilyushin II-18",83
"2752","Oct 24, 2000 at 1716 LT","Donaueschingen, Baden-Württemberg","Beechcraft Super King Air 300",4
"2753","Oct 20, 2000 at 0800 LT","Mannheim, Baden-Württemberg","Cessna 303 Crusader",1
"2754","Oct 19, 2000 at 1212 LT","Sam Neua, Houaphan Province","Harbin Yunsunji Y-12",8
"2755","Oct 16, 2000 at 0700 LT","Toulouse, Haute-Garonne","Aérospatiale SN.601 Corvette",0
"2756","Oct 10, 2000 at 1452 LT","Wichita, Kansas","Canadair CL-604 Challenger",3
"2757","Oct 10, 2000 at 0145 LT","Washington Court House, Ohio","Beechcraft E18",1
"2758","Oct 9, 2000 at 0951 LT","Washington, Washington","Cessna 208 Caravan",1
"2759","Oct 8, 2000 at 1520 LT","Port Radium, Northwest Territories","Short SC.7 Skyvan Variant",3
"2760","Oct 6, 2000 at 2158 LT","Vineyard Haven, Massachusetts","Mitsubishi MU-2 Marquise",4
"2761","Oct 6, 2000 at 1655 LT","Reynosa, Tamaulipas","Douglas DC-9",4
"2762","Oct 6, 2000","Luzamba, Lunda Norte","Antonov AN-72",0
"2763","Oct 6, 2000","Mexico, Mexico","Rockwell Aero Commander 500",2
"2764","Sep 27, 2000 at 1038 LT","La Grande, Quebec","Convair CV-580",0
"2765","Sep 23, 2000 at 1950 LT","Greenville, Maine","Cessna 208 Caravan",0
"2766","Sep 23, 2000","Czech Republic, Czech Republic","PZL-Mielec AN-2",0
"2767","Sep 22, 2000","Philadelphia, Pennsylvania","Boeing 767-200",0
"2768","Sep 21, 2000 at 2050 LT","Niamey, Niamey City District","Boeing 707",0
"2769","Sep 20, 2000 at 1930 LT","Jeffersonville, Indiana","Piper PA-31-350 Navajo Chieftain",0
"2770","Sep 19, 2000","Russia, Russia","PZL-Mielec AN-28",0
"2771","Sep 18, 2000 at 1510 LT","Alaska, Alaska","Piper PA-31-350 Navajo Chieftain",5
"2772","Sep 14, 2000 at 1100 LT","Panama City, Panamá","Rockwell Gulfstream Jetprop 840",0
"2773","Sep 9, 2000 at 1800 LT","Manta, Manabí","Dornier DO.28D Skyservant",1
"2774","Sep 9, 2000","France, France","Piper PA-31 Cheyenne",1
"2775","Sep 9, 2000","Gulf of Mexico, World","Antonov AN-2",1
"2776","Sep 6, 2000 at 0903 LT","Aubenas, Ardèche","Lockheed C-130 Hercules",2
"2777","Sep 4, 2000 at 1510 LT","Burketown, Queensland","Beechcraft Super King Air 200",8
"2778","Sep 2, 2000","Colombia, Colombia","Douglas C-47 Skytrain (DC-3)",7
"2779","Aug 26, 2000 at 1210 LT","La Fortuna, Alajuela (Center-North)","Cessna 208 Caravan",10
"2780","Aug 26, 2000","Ensenada, Baja California","Beechcraft Super King Air 300",3
"2781","Aug 25, 2000 at 1735 LT","Hilo, Hawaii","Piper PA-31-350 Navajo Chieftain",1
"2782","Aug 24, 2000 at 1549 LT","Texas, Texas","Cessna 421 Golden Eagle",1
"2783","Aug 23, 2000 at 1939 LT","Bahrain, Bahrain","Airbus A320",143
"2784","Aug 23, 2000 at 0703 LT","Venezuela, Venezuela","Cessna 207 Skywagon",3
"2785","Aug 15, 2000","Kisangani, Orientale","Antonov AN-12",0
"2786","Aug 15, 2000 at 0825 LT","Hazlehurst, Georgia","Piper PA-31-350 Navajo Chieftain",3
"2787","Aug 14, 2000 at 2357 LT","British Columbia, British Columbia","Cessna 208 Caravan",2
"2788","Aug 14, 2000 at 1822 LT","Iron Wood, Michigan","Rockwell Sabreliner 75",2
"2789","Aug 12, 2000","Kinshasa, Kinshasa City Province","Antonov AN-26",27
"2790","Aug 9, 2000 at 0752 LT","Burlington, New Jersey","Piper PA-31-350 Navajo Chieftain",9
"2791","Aug 8, 2000 at 1544 LT","Greensboro, North Carolina","Douglas DC-9",0
"2792","Aug 6, 2000","Puerto Montt, Región de Los Lagos","Casa 212 Aviocar",14
"2793","Aug 2, 2000 at 1200 LT","Manitoba, Manitoba","De Havilland DHC-3 Otter",0
"2794","Aug 2, 2000","Yeniseysk, Krasnoyarsk Krai","PZL-Mielec AN-2",0
"2795","Jul 31, 2000 at 0034 LT","Raleigh, North Carolina","De Havilland DHC-6 Twin Otter",1
"2796","Jul 29, 2000 at 1332 LT","India, India","Beechcraft Super King Air 200",5
"2797","Jul 27, 2000 at 2350 LT","Montreal, Quebec","Grumman G-159 Gulfstream GI",0
"2798","Jul 27, 2000 at 1035 LT","Dhangadhi, Seti","De Havilland DHC-6 Twin Otter",25
"2799","Jul 25, 2000 at 1644 LT","Paris, Paris","Aérospatiale-BAC Concorde",113
"2800","Jul 25, 2000 at 0600 LT","Amman, Amman City District","Lockheed C-130 Hercules",13
"2801","Jul 20, 2000 at 1312 LT","Nassau, New Providence","Douglas DC-3",2
"2802","Jul 19, 2000 at 0031 LT","Maine, Maine","Grumman G-159 Gulfstream GI",2
"2803","Jul 18, 2000 at 2242 LT","Ahwaz, Khuzestan","Fokker F28 Fellowship",0
"2804","Jul 17, 2000 at 0734 LT","Patna, Bihar","Boeing 737-200",60
"2805","Jul 15, 2000","Volos, Thessaly / Tessa<U+03BB><U+03AF>a","Canadair CL-215",2
"2806","Jul 12, 2000 at 1331 LT","Vienna, Vienna","Airbus A310",0
"2807","Jul 12, 2000","Nairobi, Nairobi City District","Cessna 208 Caravan",0
"2808","Jul 9, 2000 at 0825 LT","Villavicencio, Meta","Curtiss C-46",10
"2809","Jul 8, 2000 at 1950 LT","Villahermosa, Tabasco","BAe Jetstream 31",19
"2810","Jul 8, 2000 at 0455 LT","Antillean Sea, World","Cessna 402",1
"2811","Jul 7, 2000","South Sudan, South Sudan","Antonov AN-32",0
"2812","Jul 4, 2000 at 1715 LT","Thessaloniki, Thessaly / Tessa<U+03BB><U+03AF>a","Tupolev TU-154",0
"2813","Jul 2, 2000 at 1050 LT","Cagayancillo, Palawan","GAF Nomad N22",14
"2814","Jun 29, 2000 at 2219 LT","Grande Prairie, Alberta","Douglas A-26 Invader",0
"2815","Jun 29, 2000","Kamina, Gulf","Cessna 402",1
"2816","Jun 27, 2000","Japan, Japan","Kawasaki C-1",8
"2817","Jun 26, 2000","Khartoum, Khartoum (<U+0627><U+0644><U+062E><U+0631><U+0637><U+0648><U+0645>)","Boeing 737-200",0
"2818","Jun 23, 2000 at 1141 LT","Boca Raton, Florida","Learjet 55 Longhorn",3
"2819","Jun 22, 2000 at 1451 LT","Wuhan, Hubei","Xian Yunsunji Y-7-100",49
"2820","Jun 21, 2000","Argentina, Argentina","Pilatus PC-6 (Porter & Turbo Porter)",0
"2821","Jun 20, 2000 at 1750 LT","Astrakhan, Astrakhan oblast","Ilyushin II-76",0
"2822","Jun 19, 2000 at 1630 LT","British Columbia, British Columbia","De Havilland DHC-2 Beaver",3
"2823","Jun 14, 2000 at 1700 LT","Newark, New Jersey","McDonnell Douglas MD-81",0
"2824","Jun 14, 2000 at 0954 LT","Liverpool, Merseyside","Piper PA-31-350 Navajo Chieftain",5
"2825","Jun 13, 2000 at 2250 LT","Peterborough, Ontario","Dassault Falcon 20",0
"2826","Jun 13, 2000 at 1330 LT","Germany, Germany","Pilatus PC-6 (Porter & Turbo Porter)",0
"2827","Jun 12, 2000 at 1815 LT","Dar es Salaam, Dar es Salaam Region","Cessna 425 Conquest",0
"2828","Jun 11, 2000","Palma de Majorca, Balearic Islands","Cessna 402",0
"2829","Jun 5, 2000 at 1135 LT","Accra, Greater Accra","Fokker F27 Friendship",7
"2830","Jun 5, 2000 at 1031 LT","Kiowa, Colorado","Piper PA-31-350 Navajo Chieftain",2
"2831","Jun 2, 2000 at 1240 LT","La Romana, La Romana","Cessna 401",1
"2832","May 31, 2000 at 1905 LT","Whyalla, South Australia","Piper PA-31-350 Navajo Chieftain",8
"2833","May 31, 2000 at 1728 LT","Montana, Montana","Cessna 414 Chancellor",3
"2834","May 30, 2000","Goiânia, Goiás","Beechcraft King Air 90",0
"2835","May 26, 2000 at 2023 LT","Zurich, Zurich","Piper PA-31-350 Navajo Chieftain",1
"2836","May 25, 2000 at 0252 LT","Paris, Paris","Short 330",1
"2837","May 23, 2000 at 1945 LT","Pacific Ocean, World","Beechcraft Super King Air 200",0
"2838","May 21, 2000 at 1148 LT","Wilkes Barre, Pennsylvania","BAe Jetstream 31",19
"2839","May 18, 2000 at 0947 LT","Moanda, Haut-Ogooué (Franceville)","Beechcraft 1900C",3
"2840","May 15, 2000","Arctic, World","PZL-Mielec AN-2",0
"2841","May 14, 2000 at 1600 LT","Monroe, North Carolina","Beechcraft C-45 Expeditor",0
"2842","May 10, 2000 at 2031 LT","Molokai, Hawaii","Rockwell Sabreliner 65",6
"2843","May 9, 2000","Los Angeles, California","Grumman E-2C Hawkeye",0
"2844","May 3, 2000","Guyana, Guyana","Britten-Norman Islander",1
"2845","May 2, 2000 at 1439 LT","Lyon, Rhône","Learjet 35",2
"2846","Apr 30, 2000 at 1535 LT","Ciudad Bolivar, Bolívar","PZL-Mielec AN-2",0
"2847","Apr 30, 2000 at 0548 LT","Entebbe, Central","Douglas DC-10",0
"2848","Apr 29, 2000","Papua New Guinea, PNG","Britten-Norman Islander",4
"2849","Apr 22, 2000 at 1405 LT","Siirt, Southeastern Anatolia Region (Güneydogu Anadolu Bölgesi)","Avro RJ70",0
"2850","Apr 19, 2000","Pepa, Katanga","Antonov AN-8",24
"2851","Apr 19, 2000","Bukavu, Sud-Kivu","Cessna 208 Caravan",2
"2852","Apr 19, 2000 at 0701 LT","Davao City, Davao del Sur","Boeing 737-200",131
"2853","Apr 17, 2000 at 1035 LT","Reno, Nevada","Grumman S-2 Tracker",3
"2854","Apr 16, 2000 at 0845 LT","Mineralnye Vody, Stavropol Krai","PZL-Mielec AN-2",3
"2855","Apr 15, 2000 at 0743 LT","Lansing, Michigan","Cessna 404 Titan",0
"2856","Apr 12, 2000","Belo Horizonte, Minas Gerais","Beechcraft Queen Air 80",3
"2857","Apr 8, 2000 at 1852 LT","Breitscheid, Hesse","Pilatus PC-6 (Porter & Turbo Porter)",2
"2858","Apr 6, 2000","Saransk, Republic of Mordovia","PZL-Mielec AN-2",0
"2859","Apr 5, 2000 at 0930 LT","Marianna, Florida","Learjet 35",3
"2860","Apr 2, 2000 at 1440 LT","Münster-Osnabrück, North Rhine-Westphalia","Cessna 441 Conquest",2
"2861","Apr 1, 2000 at 0950 LT","La Paz, La Paz","Cessna 421 Golden Eagle",4
"2862","Apr 1, 2000 at 0800 LT","Estancia Las Cruces, Buenos Aires province","Cessna 208 Caravan",1
"2863","Mar 30, 2000","Anuradhapura, North Central Province (<U+0BB5><U+0B9F> <U+0BAE><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BAF> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>)","Antonov AN-26",40
"2864","Mar 26, 2000 at 0840 LT","Texas, Texas","Cessna 525 CJ1",1
"2865","Mar 25, 2000","Huambo, Huambo","Antonov AN-32",3
"2866","Mar 24, 2000 at 1804 LT","Colombo, Western Province (<U+0BAE><U+0BC7><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>)","Antonov AN-12",10
"2867","Mar 22, 2000","Spain, Spain","Casa 212 Aviocar",7
"2868","Mar 21, 2000 at 1914 LT","Killeen, Texas","Saab 340",0
"2869","Mar 21, 2000","Bursa, Marmara Region (Marmara Bölgesi)","Beechcraft King Air 90",1
"2870","Mar 19, 2000","Goma, Nord-Kivu","Antonov AN-26",0
"2871","Mar 17, 2000 at 1802 LT","Hyannis, Massachusetts","Dassault Falcon 900",0
"2872","Mar 17, 2000 at 1230 LT","Ennadai, Nunavut","Douglas DC-3",2
"2873","Mar 17, 2000 at 1047 LT","Kaduna, Kaduna","Embraer EMB-110 Bandeirante",0
"2874","Mar 17, 2000 at 0930 LT","Puerto Obaldia, Guna Yala","De Havilland DHC-6 Twin Otter",10
"2875","Mar 12, 2000","Belgium, Belgium","Pilatus PC-6 (Porter & Turbo Porter)",2
"2876","Mar 9, 2000 at 0843 LT","Moscow, Moscow oblast","Yakovlev Yak-40",9
"2877","Mar 5, 2000 at 1811 LT","Burbank, California","Boeing 737-300",0
"2878","Mar 1, 2000 at 1620 LT","Botswana, Botswana","Cessna 414 Chancellor",0
"2879","Feb 27, 2000 at 2200 LT","Saskatchewan, Saskatchewan","Piper PA-31-350 Navajo Chieftain",0
"2880","Feb 23, 2000","India, India","Antonov AN-32",0
"2881","Feb 21, 2000 at 1123 LT","Kotzebue, Alaska","Piper PA-31 Cheyenne",0
"2882","Feb 16, 2000 at 1952 LT","Sacramento, California","Douglas DC-8",3
"2883","Feb 16, 2000 at 1243 LT","Sapporo, Hokkaido","NAMC YS-11",0
"2884","Feb 12, 2000 at 1420 LT","Luanda, Luanda","Boeing 727-100",0
"2885","Feb 12, 2000 at 0056 LT","Dakar, Dakar Region","Airbus A300",0
"2886","Feb 11, 2000 at 0815 LT","Lewiston, Idaho","Mitsubishi MU-2 Marquise",1
"2887","Feb 9, 2000 at 1205 LT","Wales, Alaska","Piper PA-31 Cheyenne",0
"2888","Feb 8, 2000 at 1007 LT","Maputo, Maputo City District","Embraer EMB-110 Bandeirante",1
"2889","Feb 7, 2000 at 1055 LT","British Columbia, British Columbia","Piper PA-31-350 Navajo Chieftain",0
"2890","Feb 3, 2000 at 1736 LT","Mwanza, Mwanza Region","Boeing 707",0
"2891","Feb 3, 2000 at 1435 LT","Filitheyo (Nilandhe Atoll), Central Province","Cessna 208 Caravan",0
"2892","Feb 3, 2000","Mexico City, Federal District of Mexico City","Douglas DC-3",0
"2893","Feb 2, 2000 at 1407 LT","Bimini, Bimini","Beechcraft D18",0
"2894","Feb 1, 2000 at 1030 LT","Tehran, Tehran City District","Lockheed C-130 Hercules",9
"2895","Feb 1, 2000 at 1030 LT","Tehran, Tehran City District","Airbus A300",0
"2896","Jan 31, 2000 at 1620 LT","Los Angeles, California","McDonnell Douglas MD-83",88
"2897","Jan 31, 2000","Envira, Amazonas","Embraer EMB-110 Bandeirante",0
"2898","Jan 31, 2000","Envira, Amazonas","Embraer EMB-110 Bandeirante",0
"2899","Jan 30, 2000 at 2109 LT","Abidjan, Lagunes","Airbus A310",169
"2900","Jan 27, 2000 at 1015 LT","Dallas, Texas","Mitsubishi MU-300 Diamond",0
"2901","Jan 25, 2000 at 1225 LT","Guadalajara, Jalisco","Cessna 404 Titan",5
"2902","Jan 24, 2000","Ankara, Central Anatolia Region (Iç Anadolu Bölgesi)","Beechcraft King Air 90",4
"2903","Jan 22, 2000 at 1433 LT","San Antonio, Texas","Mitsubishi MU-2 Marquise",2
"2904","Jan 22, 2000 at 1145 LT","Dominican Republic, Dominican Republic","Cessna 207 Skywagon",7
"2905","Jan 18, 2000 at 1202 LT","Somerset, Kentucky","Beechcraft King Air 90",4
"2906","Jan 16, 2000 at 1145 LT","Heringsdorf, Mecklenburg-Vorpommern","Cessna 421 Golden Eagle",0
"2907","Jan 15, 2000 at 1310 LT","San José, San José (Central Valley)","Let 410UVP",4
"2908","Jan 14, 2000 at 1216 LT","Bolivia, Bolivia","Lockheed C-130 Hercules",5
"2909","Jan 13, 2000 at 1238 LT","Marsa al Burayqah, Al Wahat (<U+0627><U+0644><U+0648><U+0627><U+062D><U+0627><U+062A>)","Short 360",22
"2910","Jan 13, 2000 at 1030 LT","Saint-Michel-des-Saints, Quebec","De Havilland DHC-2 Beaver",3
"2911","Jan 10, 2000 at 2024 LT","Everett, Washington","Beechcraft D18",0
"2912","Jan 10, 2000 at 1756 LT","Zurich, Zurich","Saab 340",10
"2913","Jan 5, 2000 at 1200 LT","Abuja, Abuja Federal Capital Territory","Embraer EMB-110 Bandeirante",2
"2914","Jan 2, 2000 at 0950 LT","Telluride, Colorado","Cessna 421 Golden Eagle",1
"2915","Dec 31, 1999 at 1055 LT","Saint-Barthélemy, Guadeloupe","Beechcraft 99",0
"2916","Dec 29, 1999 at 1700 LT","Black Sea, World","PZL-Mielec AN-28",6
"2917","Dec 28, 1999 at 0917 LT","Abbotsford, British Columbia","Cessna 208 Caravan",0
"2918","Dec 28, 1999 at 0545 LT","Luzamba, Lunda Norte","Lockheed C-130 Hercules",0
"2919","Dec 26, 1999","Torino, Piedmont","Pilatus PC-6 (Porter & Turbo Porter)",2
"2920","Dec 26, 1999 at 0715 LT","Milwaukee, Wisconsin","IAI 1124 Westwind",0
"2921","Dec 25, 1999 at 2015 LT","Valencia, Carabobo","Yakovlev Yak-42",22
"2922","Dec 25, 1999 at 1502 LT","Simara, Narayani","De Havilland DHC-6 Twin Otter",10
"2923","Dec 24, 1999","Ndola, Copperbelt","Cessna 208 Caravan",0
"2924","Dec 23, 1999 at 1600 LT","Adjuntas, Puerto Rico","Cessna 208 Caravan",0
"2925","Dec 22, 1999 at 1839 LT","Stansted, Essex","Boeing 747-200",4
"2926","Dec 22, 1999 at 1830 LT","Monterrey, Nuevo León","Cessna 414 Chancellor",2
"2927","Dec 22, 1999 at 1525 LT","Georgetown, South Carolina","Rockwell Aero Commander 500",2
"2928","Dec 21, 1999 at 2130 LT","Cordele, Georgia","Cessna 551 Citation II",1
"2929","Dec 21, 1999 at 0940 LT","Guatemala City, Guatemala","Douglas DC-10",18
"2930","Dec 19, 1999 at 2035 LT","Beaufort, North Carolina","Beechcraft King Air 90",1
"2931","Dec 16, 1999 at 1515 LT","Santa Fe, New Mexico","Piper PA-31 Cheyenne",0
"2932","Dec 13, 1999 at 1538 LT","Tanzania, Tanzania","Cessna 402",0
"2933","Dec 12, 1999 at 1635 LT","Goldsboro, Pennsylvania","IAI 1124 Westwind",3
"2934","Dec 10, 1999 at 1018 LT","Azores Islands, Azores Islands","BAe ATP",35
"2935","Dec 9, 1999 at 1512 LT","Point Lookout, Missouri","Cessna 525 CJ1",6
"2936","Dec 9, 1999 at 1204 LT","Sundsvall, Medelpad","Piper PA-31-350 Navajo Chieftain",8
"2937","Dec 9, 1999 at 0250 LT","Kuwait City, Kuwait","Lockheed C-130 Hercules",3
"2938","Dec 8, 1999","João Pessoa, Paraíba","Cessna 208 Caravan",0
"2939","Dec 7, 1999 at 1300 LT","Bethel, Alaska","Cessna 207 Skywagon",6
"2940","Dec 7, 1999 at 0930 LT","Cauayan, Isabela","Let 410UVP",17
"2941","Dec 6, 1999 at 0706 LT","Johannesburg, Gauteng","Piper PA-31-350 Navajo Chieftain",10
"2942","Dec 5, 1999 at 0512 LT","Moscow, Moscow oblast","Ilyushin II-114",5
"2943","Nov 29, 1999","Szczecin, West Pomeranian Voivodeship (Zachodniopomorskie)","PZL-Mielec AN-28",0
"2944","Nov 29, 1999 at 1000 LT","Charallave, Miranda","Beechcraft King Air 90",0
"2945","Nov 27, 1999 at 1455 LT","Washington, Washington","De Havilland DHC-2 Beaver",4
"2946","Nov 27, 1999 at 0134 LT","Boise, Idaho","Dassault Falcon 20",0
"2947","Nov 26, 1999 at 0526 LT","Nairobi, Nairobi City District","Cessna 208 Caravan",4
"2948","Nov 23, 1999","Kwando, North-West District","Britten-Norman Islander",3
"2949","Nov 20, 1999","Benguela, Benguela","Cessna 406 Caravan",0
"2950","Nov 19, 1999","Ningbo, Zhejiang","Shijiazhuang Yunsunji Y-5",0
"2951","Nov 18, 1999","Tshikapa, Kasai-Occidental","Convair CV-580",0
"2952","Nov 12, 1999 at 1213 LT","Pristina, Kosovo","ATR42-300",24
"2953","Nov 12, 1999","Lukapa, Lunda Norte","Antonov AN-12",0
"2954","Nov 11, 1999 at 2020 LT","Chicago, Illinois","Beechcraft Super King Air 200",3
"2955","Nov 10, 1999 at 1200 LT","Mbandaka, Équateur","Antonov AN-12",6
"2956","Nov 10, 1999 at 0725 LT","Colombia, Colombia","Douglas DC-3",5
"2957","Nov 9, 1999 at 1903 LT","Uruapan, Michoacán","Douglas DC-9",18
"2958","Nov 9, 1999 at 1200 LT","Khvishchanka, Primorsky Krai","Antonov AN-14",3
"2959","Nov 1, 1999 at 0616 LT","Binghamton, New York","Cessna 303 Crusader",0
"2960","Oct 31, 1999 at 1222 LT","Madrid, Madrid","Cessna 401",2
"2961","Oct 31, 1999 at 0150 LT","New York, New York","Boeing 767-300",217
"2962","Oct 29, 1999","Pakistan, Pakistan","Lockheed P-3 Orion",21
"2963","Oct 25, 1999 at 1213 LT","Aberdeen, South Dakota","Learjet 35",6
"2964","Oct 24, 1999 at 1420 LT","San Carlos, Cojedes","IAI Arava 201",6
"2965","Oct 24, 1999 at 1015 LT","Genoa, Liguria","Learjet 35",3
"2966","Oct 21, 1999","Recife, Pernambuco","Rockwell Aero Commander 500",0
"2967","Oct 17, 1999 at 2357 LT","Olongapo, Zambales","McDonnell Douglas MD-11",0
"2968","Oct 16, 1999 at 1146 LT","Kinshasa, Kinshasa City Province","Douglas DC-8",0
"2969","Oct 15, 1999 at 1225 LT","Ontario, Ontario","Cessna 208 Caravan",0
"2970","Oct 15, 1999 at 1200 LT","United Kingdom, UK","PZL-Mielec AN-2",0
