"","Date","Location","Airplane.model","Fatalities"
"256","May 19, 2015","Mandeng, Upper Nile (<U+0623><U+0639><U+0627><U+0644><U+064A> <U+0627><U+0644><U+0646><U+064A><U+0644>)","Cessna 208 Caravan",0
"257","May 18, 2015 at 0900 LT","Sanamer, Stavropol Krai","PZL-Mielec AN-2",0
"258","May 16, 2015 at 1520 LT","Baltic Sea, World","PZL-Mielec AN-2",2
"259","May 10, 2015 at 1433 LT","Azov, Rostov oblast","PZL-Mielec AN-2",0
"260","May 10, 2015 at 1157 LT","Fuzhou, Fujian","Xian MA60",0
"261","May 9, 2015 at 1257 LT","Seville, Andalusia","Airbus A400M",4
"262","Apr 28, 2015 at 1455 LT","Inarizaki, Shikoku","Shin Meiwa US-2",0
"263","Apr 25, 2015 at 1710 LT","Maracaibo, Zulia","Beechcraft Super King Air 200",0
"264","Apr 25, 2015 at 1041 LT","Istanbul-Atatürk, Marmara Region (Marmara Bölgesi)","Airbus A320",0
"265","Apr 14, 2015 at 2005 LT","Hiroshima, Chugoku","Airbus A320",0
